label,entity,voting,ownerCount,rofr,dragTag,sectionCount,paragraphs,h3,h4,tabs,pageBreaks,numbered,tables,rFontsRuns,bodyLen
B_C-Corp_MAJ51_SUP67,C-Corp,mixed,2,true,true,77,412,65,2,210,1,76,1,92,478954
B_C-Corp_MAJ60_SUP80,C-Corp,mixed,2,true,true,77,412,65,2,210,1,76,1,92,478945
B_C-Corp_MAJ65_SUP90,C-Corp,mixed,2,true,true,77,412,65,2,210,1,76,1,92,478950
B_LLC_MAJ50.01_SUP75,LLC,mixed,2,true,true,72,300,7,1,207,0,65,3,9,281930
B_LLC_MAJ51_SUP67,LLC,mixed,2,true,true,72,300,7,1,207,0,65,3,9,281908
B_LLC_MAJ60_SUP80,LLC,mixed,2,true,true,72,300,7,1,207,0,65,3,9,281903
B_LLC_MAJ65_SUP90,LLC,mixed,2,true,true,72,300,7,1,207,0,65,3,9,281903
C_C-Corp_2own_rofrY_dtY_SUP80,C-Corp,mixed,2,true,true,78,418,66,2,224,1,77,1,92,483166
C_C-Corp_2own_rofrY_dtN_SUP80,C-Corp,mixed,2,true,false,78,416,66,2,224,1,77,1,92,478035
C_C-Corp_2own_rofrN_dtY_SUP80,C-Corp,mixed,2,false,true,75,411,63,2,222,1,74,1,92,468241
C_C-Corp_2own_rofrN_dtN_SUP80,C-Corp,mixed,2,false,false,75,409,63,2,222,1,74,1,92,463110
C_C-Corp_6own_rofrY_dtY_SUP80,C-Corp,mixed,6,true,true,78,451,66,2,238,1,77,1,93,496979
C_C-Corp_6own_rofrY_dtN_SUP80,C-Corp,mixed,6,true,false,78,449,66,2,238,1,77,1,93,491848
C_C-Corp_6own_rofrN_dtY_SUP80,C-Corp,mixed,6,false,true,75,444,63,2,236,1,74,1,93,482054
C_C-Corp_6own_rofrN_dtN_SUP80,C-Corp,mixed,6,false,false,75,442,63,2,236,1,74,1,93,476923
C_LLC_2own_rofrY_dtY_SUP80,LLC,mixed,2,true,true,72,306,7,1,217,0,65,3,9,285303
C_LLC_2own_rofrY_dtN_SUP80,LLC,mixed,2,true,false,72,306,7,1,217,0,65,3,9,285303
C_LLC_2own_rofrN_dtY_SUP80,LLC,mixed,2,false,true,68,302,3,1,212,0,64,3,9,274762
C_LLC_2own_rofrN_dtN_SUP80,LLC,mixed,2,false,false,68,302,3,1,212,0,64,3,9,274762
C_LLC_6own_rofrY_dtY_SUP80,LLC,mixed,6,true,true,72,332,7,1,215,0,65,3,9,292498
C_LLC_6own_rofrY_dtN_SUP80,LLC,mixed,6,true,false,72,332,7,1,215,0,65,3,9,292498
C_LLC_6own_rofrN_dtY_SUP80,LLC,mixed,6,false,true,68,328,3,1,210,0,64,3,9,281957
C_LLC_6own_rofrN_dtN_SUP80,LLC,mixed,6,false,false,68,328,3,1,210,0,64,3,9,281957
